2026-03-23 14:05:15.634 +03 [2248] LOG:  starting PostgreSQL 18.3 on x86_64-windows, compiled by msvc-19.44.35223, 64-bit
2026-03-23 14:05:15.638 +03 [2248] LOG:  listening on IPv6 address "::1", port 5432
2026-03-23 14:05:15.638 +03 [2248] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2026-03-23 14:05:15.691 +03 [1064] LOG:  database system was interrupted; last known up at 2026-03-23 13:54:57 +03
2026-03-23 14:05:16.753 +03 [1064] LOG:  database system was not properly shut down; automatic recovery in progress
2026-03-23 14:05:16.759 +03 [1064] LOG:  redo starts at 0/6F83838
2026-03-23 14:05:16.759 +03 [1064] LOG:  invalid record length at 0/6F83978: expected at least 24, got 0
2026-03-23 14:05:16.759 +03 [1064] LOG:  redo done at 0/6F83940 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-03-23 14:05:16.776 +03 [10380] LOG:  checkpoint starting: end-of-recovery immediate wait
2026-03-23 14:05:16.797 +03 [10380] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.003 s, total=0.032 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/6F83978, redo lsn=0/6F83978
2026-03-23 14:05:16.833 +03 [2248] LOG:  database system is ready to accept connections
2026-03-23 14:10:16.810 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 14:10:20.848 +03 [10380] LOG:  checkpoint complete: wrote 37 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.022 s, sync=0.009 s, total=4.038 s; sync files=8, longest=0.002 s, average=0.002 s; distance=266 kB, estimate=266 kB; lsn=0/6FC64D8, redo lsn=0/6FC6480
2026-03-23 14:25:16.863 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 14:25:20.667 +03 [10380] LOG:  checkpoint complete: wrote 34 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=3.725 s, sync=0.068 s, total=3.805 s; sync files=7, longest=0.062 s, average=0.010 s; distance=259 kB, estimate=265 kB; lsn=0/70828C8, redo lsn=0/70070E0
2026-03-23 14:35:16.686 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 14:35:24.001 +03 [10380] LOG:  checkpoint complete: wrote 67 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.298 s, sync=0.009 s, total=7.315 s; sync files=9, longest=0.002 s, average=0.001 s; distance=626 kB, estimate=626 kB; lsn=0/70A3AE8, redo lsn=0/70A3A58
2026-03-23 14:40:16.013 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 14:40:16.132 +03 [10380] LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.110 s, sync=0.002 s, total=0.120 s; sync files=1, longest=0.002 s, average=0.002 s; distance=4 kB, estimate=564 kB; lsn=0/70A4CE0, redo lsn=0/70A4C88
2026-03-23 15:00:16.171 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:00:23.958 +03 [10380] LOG:  checkpoint complete: wrote 70 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.724 s, sync=0.053 s, total=7.787 s; sync files=65, longest=0.002 s, average=0.001 s; distance=365 kB, estimate=544 kB; lsn=0/71003F0, redo lsn=0/7100360
2026-03-23 15:05:16.963 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:05:17.076 +03 [10380] LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.113 s; sync files=1, longest=0.002 s, average=0.002 s; distance=3 kB, estimate=490 kB; lsn=0/7101120, redo lsn=0/71010C8
2026-03-23 15:15:16.101 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:15:23.217 +03 [10380] LOG:  checkpoint complete: wrote 60 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.076 s, sync=0.011 s, total=7.116 s; sync files=9, longest=0.003 s, average=0.002 s; distance=596 kB, estimate=596 kB; lsn=0/7196288, redo lsn=0/71961F8
2026-03-23 15:20:16.227 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:20:20.286 +03 [10380] LOG:  checkpoint complete: wrote 35 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.039 s, sync=0.012 s, total=4.059 s; sync files=8, longest=0.006 s, average=0.002 s; distance=249 kB, estimate=561 kB; lsn=0/71D49A8, redo lsn=0/71D4918
2026-03-23 15:25:16.297 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:25:22.943 +03 [10380] LOG:  checkpoint complete: wrote 52 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.537 s, sync=0.012 s, total=6.647 s; sync files=9, longest=0.003 s, average=0.002 s; distance=406 kB, estimate=546 kB; lsn=0/723A438, redo lsn=0/723A3A8
2026-03-23 15:35:17.020 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:35:24.029 +03 [10380] LOG:  checkpoint complete: wrote 64 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.979 s, sync=0.023 s, total=7.010 s; sync files=26, longest=0.002 s, average=0.001 s; distance=328 kB, estimate=524 kB; lsn=0/728C7C8, redo lsn=0/728C738
2026-03-23 15:40:17.044 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:40:21.533 +03 [10380] LOG:  checkpoint complete: wrote 41 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.468 s, sync=0.014 s, total=4.490 s; sync files=14, longest=0.002 s, average=0.001 s; distance=262 kB, estimate=498 kB; lsn=0/733C578, redo lsn=0/72CE298
2026-03-23 15:50:17.565 +03 [10380] LOG:  checkpoint starting: time
2026-03-23 15:50:27.322 +03 [10380] LOG:  checkpoint complete: wrote 89 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.713 s, sync=0.030 s, total=9.757 s; sync files=33, longest=0.002 s, average=0.001 s; distance=717 kB, estimate=717 kB; lsn=0/73BFDB0, redo lsn=0/7381A48
2026-03-23 15:50:30.910 +03 [19380] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-03-23 15:52:24.753 +03 [2248] LOG:  client backend (PID 19720) was terminated by exception 0xC000013A
2026-03-23 15:52:24.753 +03 [2248] DETAIL:  Failed process was running: SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"
2026-03-23 15:52:24.753 +03 [2248] HINT:  See C include file "ntstatus.h" for a description of the hexadecimal value.
2026-03-23 15:52:24.753 +03 [2248] LOG:  terminating any other active server processes
2026-03-23 15:52:24.803 +03 [2248] LOG:  all server processes terminated; reinitializing
2026-03-23 15:52:24.864 +03 [2248] LOG:  startup process (PID 20292) was terminated by exception 0xC0000142
2026-03-23 15:52:24.864 +03 [2248] HINT:  See C include file "ntstatus.h" for a description of the hexadecimal value.
2026-03-23 15:52:24.864 +03 [2248] LOG:  aborting startup due to startup process failure
2026-03-23 15:52:24.871 +03 [2248] LOG:  database system is shut down
